생태구명,정점명,관측년도,관측월,조사일자,날씨,수심,투명도(m),수온(℃)표층,수온(℃)저층,염분표층,염분저층,수소이온농도표층,수소이온농도저층,용존산소량(㎎/L)표층,용존산소량(㎎/L)저층,화학적산소요구량(㎎/L)표층,화학적산소요구량(㎎/L)저층,암모니아성질소(㎍/L)표층,암모니아성질소(㎍/L)저층,아질산성질소(㎍/L)표층,아질산성질소(㎍/L)저층,질산성질소(㎍/L)표층,질산성질소(㎍/L)저층,용존무기질소(㎍/L)표층,용존무기질소(㎍/L)저층,총질소(㎍/L)표층,총질소(㎍/L)저층,용존무기인(㎍/L)표층,용존무기인(㎍/L)저층,총인(㎍/L)표층,총인(㎍/L)저층,규산규소(㎍/L)표층,규산규소(㎍/L)저층,부유물질(㎎/L)표층,부유물질(㎎/L)저층,클로로필A(㎍/L)표층,클로로필A(㎍/L)저층,WQI등급
대한해협,BK1417,2022,11,2022-11-09,맑음,18,6,17.61,16.94,33.68,33.81,8.1,8.11,7.18,6.72,1.93,1.72,24.3,14.9,7.7,5.7,60.3,96.7,92.3,117.3,195.4,230,19.9,17.9,29.9,30.1,352.5,379.6,25.5,26.2,2.9,1.05,2
대한해협,BK1417,2022,8,2022-08-23,맑음,16.1,3.5,23.29,15.82,31.81,33.39,8.38,8.25,10.37,8.21,4.29,2.91,8.6,4.3,0.5,0.5,0.1,1.1,9.2,5.9,197.5,175,0.1,1.7,30.6,25.8,13.4,54.9,9.9,7.9,8.96,11.36,2
대한해협,BK1417,2022,5,2022-05-18,맑음,15,3,16.22,14.93,33.53,34,8.08,8.07,8.3,7.48,1.24,0.42,0,0.9,2.6,2.2,38.1,52.8,40.7,55.9,168.4,152.2,5.2,7.1,27.1,27.5,196.6,250.4,9,17,4.6,3.45,1
대한해협,BK1417,2022,2,2022-02-13,맑음,14,6,11.39,11.27,34.15,34.21,8.26,8.25,8.38,8.46,0.75,1.22,5.6,5.9,10.3,8.8,94.5,102.2,110.4,117,160,175.7,16.6,16.7,26.4,24.5,337.1,342,5.5,13.6,1.82,1.61,1
대한해협,BK1417,2021,11,2021-11-25,맑음,15,5,14.4,14.33,33.87,34.15,8.17,8.15,7.4,7.94,0.67,2.23,11.91,6.92,5.81,4.68,162.3,188.22,180.03,199.81,240.9,269.96,27.37,30.16,34.81,38.19,523.71,585.62,6.3,13.9,1.42,1.28,1
대한해협,BK1417,2021,8,2021-08-16,구름많음,14,2.9,25.93,25.94,30.82,31.21,8.24,8.25,7.53,7.21,1.68,2.59,13.8,14.3,2.2,2.5,33,24.4,49,41.2,192.49,187.12,2.95,4.59,27.22,20.24,109.84,174.5,6.3,5,5.4,2.19,1
대한해협,BK1417,2021,5,2021-05-22,맑음,15,4,17.02,15.39,33.68,34.34,8.12,8.09,7.4,7.33,1.09,0.75,37,23.9,9.2,7.8,122.7,79,169,110.6,211.3,201.3,17.8,13.6,34.5,30.1,354.6,321.8,4.9,7.6,1.95,1.5,1
대한해협,BK1417,2021,2,2021-02-08,맑음,14,4,12.51,13.36,34.23,34.47,8,8,8.61,8.48,0.73,0.72,36.2,18.45,7.34,7.63,99.46,83.99,143,110.07,234.74,151.37,17.64,14.29,28.27,16.99,250.94,241.05,3.6,4.2,1.39,0.73,1
대한해협,BK1417,2020,11,2020-11-15,맑음,13,3.5,16.84,16.76,33.09,33.21,8.28,8.28,8.17,7.89,1.3,1.35,31.43,13.99,3.99,3.58,46.26,57.08,81.68,74.65,232.53,189.62,13.95,12.31,27.87,28.95,212.1,215.63,5.1,8,4.96,5.84,1
대한해협,BK1417,2020,8,2020-08-23,구름많음,13,6.7,22.53,18.87,31.76,32.84,8.07,8.07,8.69,7.98,1.42,1.79,25.44,9.48,2.63,2.97,50.18,95.03,78.25,107.48,285.61,191.14,11.35,16.68,22.72,26.66,362.1,457.02,4,6.8,1.6,1,1
대한해협,BK1417,2020,5,2020-05-20,구름많음,14,3.3,15.95,14.26,33.84,34.06,8.28,8.21,9.29,8.41,1.51,0.34,3.67,12.73,7.71,16.9,16.6,48.59,27.99,78.22,190.08,196.53,5.7,12.96,30.54,30.32,173.91,274.06,5.5,7.6,7,2.9,2
대한해협,BK1417,2020,2,2020-02-22,맑음,14,2.5,12.78,12.75,34.03,34.03,8.23,8.23,9.36,9.31,0.6,0.55,12.42,11.4,8.01,9.56,118.83,126.49,139.26,147.45,234.36,229.1,17.02,16.09,30.97,30.32,393.82,398.66,8.15,7.6,0.99,0.89,1
대한해협,BK1417,2019,11,2019-11-20,맑음,15,3,16.08,15.93,33.58,33.66,8.08,8.09,7.7,7.49,0.82,0.86,5.7,8.29,7.67,7.21,21.73,124.04,35.1,139.54,247.63,236.43,21.73,22.72,32.64,33.88,439.4,452.96,3.75,5.5,1.38,1.32,1
대한해협,BK1417,2019,8,2019-08-21,구름많음,14.5,7,25.98,24.11,31.92,32.41,8.34,8.28,7.99,7.44,0.4,0.43,6.29,8.19,0.43,2.17,2.21,17.42,8.93,27.78,131.49,166.92,0.74,6.82,9.95,20.71,170.52,236.38,4.2,8.8,1.64,3.94,1
대한해협,BK1417,2019,5,2019-05-08,맑음,15,3,15.04,14.35,33.94,34.06,8.39,8.35,7.5,8.02,1.18,1.15,0.56,1.19,1.15,6.09,8.99,28.85,10.7,36.13,171.61,165.68,1.98,7.07,24.34,18.23,109.09,221.2,8.9,10.4,5.24,1.88,1
대한해협,BK1417,2019,2,2019-03-05,맑음,15.5,4.2,13.89,13.62,34.44,34.42,8.27,8.27,9.36,9.18,0.43,0.53,8.12,10.33,4.83,4.14,30.84,27.17,43.79,41.65,134.01,168.31,6.2,5.98,17.33,19.13,97.3,94.75,5.1,5.7,2.56,3.6,1
대한해협,BK1417,2018,11,2018-11-20,구름조금,15.8,4.9,16.33,16.33,33.75,33.76,8.14,8.15,7.09,6.85,1.26,1.45,5.95,7.67,7.06,7.2,81.63,87.58,94.64,102.45,158.09,206.53,15.72,16.9,21.42,26.75,382.2,401.72,6.67,3.03,0.99,0.82,2
대한해협,BK1417,2018,8,2018-08-20,구름조금,14.5,3.2,25.97,25.63,32.44,32.5,8.26,8.22,7.52,5.67,1.13,1.29,5.88,13.89,0.7,1.1,5.9,6.2,12.48,21.19,149.7,127.93,0.5,3.9,18.17,16.52,60.87,134.23,5.63,5.93,2.82,2.86,2
대한해협,BK1417,2018,5,2018-05-27,구름많음,14.5,3.8,17.16,15.5,33.65,34.03,8.36,8.31,9.76,8.31,2.26,2.74,4.36,6.87,2.42,3.82,7.32,27.17,14.1,37.86,124.76,143.04,2.17,8.8,21.62,23.4,198.58,263.28,10.9,6.8,3.36,2.2,1
대한해협,BK1417,2018,2,2018-02-09,구름조금,15.5,5,10.89,9.88,34.36,34.36,8.26,8.27,9.32,9.03,0.74,0.98,7.17,14.51,6.01,6.18,153.05,100.56,166.23,121.25,191.7,212.98,14.65,17.01,24.82,24.6,324.88,315.78,2.95,5.45,0.78,1.06,1
대한해협,BK1417,2017,11,2017-11-21,맑음,15.5,4,15.4,15.52,33.7,33.82,8.12,8.1,7.69,7.28,1.3,0.75,16.02,10.77,5.57,4.94,96.98,104.34,118.57,120.05,159.81,229.42,23.68,18.07,27.21,25.42,366.52,385.2,7.8,7.6,1.17,0.96,2
대한해협,BK1417,2017,8,2017-08-25,구름조금,15.5,2.6,21.82,12.64,32.22,34.15,8.25,8.08,7.49,6.23,1.92,1.15,10.27,2.01,6.95,4.55,43.76,146.57,60.98,153.12,189.44,192.84,3.41,26.2,26.32,26.84,223.55,545.3,6.25,11,5.8,1.12,3
대한해협,BK1417,2017,5,2017-05-11,구름많음,14.5,2.7,15.11,14.07,34.14,34.25,8.22,8.2,8.4,8.04,0,1.09,16.75,19.31,3.62,6.42,29.92,48.15,50.29,73.87,198.5,217.8,4.28,7.16,20.66,21.94,131.89,170.8,5.55,5.05,1.83,1.56,1
대한해협,BK1417,2017,2,2017-02-02,맑음,15,3.5,12.63,11.71,34.28,34.21,8.17,8.18,8.8,8.76,0.84,0.28,7.83,10.32,7.78,7.95,80.71,87.51,96.32,105.78,208.82,226.53,13.33,13.89,17.45,33.23,328.08,334.63,8.1,7.25,0.03,0.04,1
대한해협,BK1417,2016,11,2016-11-03,맑음,15.5,2,17.52,17.37,33.17,33.28,8.03,8.02,6.55,6.28,1,0.94,26.8,14.7,12.2,11.9,135.4,136.6,174.3,163.3,332.6,334.6,21.2,20.5,29,29.7,457,467,7.9,9.8,0.81,0.74,3
대한해협,BK1417,2016,8,2016-08-04,맑음,14.5,3.3,21.67,19.79,32.71,33.04,8.17,8.21,5.44,6.33,1.5,1.14,6.5,16.4,0.8,2.9,6.9,40.2,14.2,59.4,191.5,240.2,3,6,26.3,28.9,93.8,207.2,11.6,7.6,3.17,3.26,2
대한해협,BK1417,2016,5,2016-05-09,구름조금,16,5.2,15.2,14.65,33.81,34.05,8.15,8.18,8.7,8.64,0.55,0.38,48.2,19.5,13,16.9,90.2,82.8,151.4,119.2,338.7,239.9,16.6,7.7,29.3,21.5,252.5,253.2,7.7,13,0.57,0.72,1
대한해협,BK1417,2016,2,2016-02-27,맑음,15,2.5,11,11.06,34.02,34.03,8.33,8.36,9.75,9.76,0.74,0.79,17.7,12.6,6,5.8,119.1,112.9,142.8,131.4,351.1,332.3,14.3,14.7,22.3,24.3,280.3,281.2,11.3,7,3.38,2.84,1
대한해협,BK1417,2015,11,2015-11-03,맑음,14.5,3.8,16.36,15.72,32.98,33.4,8.17,8.15,7.14,6.52,1.04,0.56,37.6,14.9,7.9,6.2,114.5,143.6,160,164.6,310.3,297.8,21.3,23,24.7,23.9,501.8,530,4.5,7.5,1.26,0.81,3
대한해협,BK1417,2015,8,2015-08-04,맑음,14.5,2.8,20.27,14.21,32.87,34,8.17,8.08,8.35,7.19,1.5,0.89,1,8.4,0.9,2.6,8.3,86.4,10.2,97.4,280.6,429.7,5.1,14.3,26.6,28.1,147,377.7,18.4,9.3,4.95,3.9,2
대한해협,BK1417,2015,5,2015-05-15,맑음,17,2.5,14.79,13.52,32.85,33.92,8.3,8.18,8.78,7.29,1.93,0.67,9.8,24.4,3.9,3,63.8,104.6,77.5,132,397.1,336.3,6.1,17.2,44.7,31.9,223.9,415.7,8.4,6.6,14.4,2.78,3
대한해협,BK1417,2015,2,2015-02-01,맑음,16,5,11.74,11.17,34.17,34.12,8.14,8.14,8.76,8.91,0.39,0.28,11.1,14.8,6.6,6.3,105.6,114,123.3,135.1,294.5,293.6,15.5,16.5,23.8,24.5,339.7,352.2,25.9,27.2,1.29,1.33,1
대한해협,BK1417,2014,11,2014-11-03,맑음,12,2.7,19.18,19.2,32.92,32.96,8.14,8.14,6.87,6.69,0.65,0.65,44,44.3,16.7,15.5,84.5,75.6,145.1,135.4,294.4,312.5,16.9,13.4,27.4,24.5,383.6,387.4,6.4,5.4,2.95,1.79,2
대한해협,BK1417,2014,8,2014-08-16,맑음,15.3,3.9,21.75,16.73,31.23,33.69,8.1,8.11,7.04,6.58,0.66,0.11,85.9,14.4,15.7,9,159.5,111.7,261.2,135.2,411.3,293.2,15.4,11.7,31.4,21.6,554.9,457.3,2.6,6,1.44,0.52,3
대한해협,BK1417,2014,5,2014-05-01,맑음,15.8,7.4,16.27,14.84,33.91,34.21,8.15,8.14,8.39,7.87,1.33,0.52,8.7,7.3,4.5,5,26.7,38.7,39.9,51,348.6,362.2,9.6,9.2,27.6,23.9,256.1,280.9,7.3,8.7,4.12,2.52,1
대한해협,BK1417,2014,2,2014-02-15,맑음,14.5,1.5,12.26,12.1,34.37,34.37,8.21,8.2,8.67,7.99,0.13,0.28,10.8,12.5,6,6.2,83.5,91.6,100.3,110.4,225.6,259.7,15.1,16.3,21.2,22.5,265.4,275.3,6.6,7.5,1.08,1.05,2
대한해협,BK1417,2013,11,2013-11-01,맑음,15,2.1,19.96,19.98,33.27,33.41,8.14,8.15,8.45,6.59,0.88,0.71,45.6,27.2,15.8,13.6,98.7,73.3,160.2,114,277,221.1,23.3,15.4,24,19.8,363.5,299.1,3.1,4.7,1.54,2,3
대한해협,BK1417,2013,8,2013-08-02,맑음,13.5,3.5,18.93,33.36,16.15,33.61,8.23,8.07,9.97,8.33,1.05,0.54,0.7,1,1.2,1.5,12.9,15.8,14.9,18.4,215.1,204.3,3.4,4.2,22.5,27,272.8,256.5,4.7,14.7,7.19,5.43,2
대한해협,BK1417,2013,5,2013-05-15,구름조금,16,2.1,15.24,13.65,33.74,33.9,8.22,8.18,9.42,8.6,1.02,0.92,0.9,1,4.9,14,9.9,31.3,15.8,46.3,372.9,369,4.4,7.7,22.1,18.2,177.1,240.3,9.95,11,5.63,2.73,2
대한해협,BK1417,2013,2,2013-02-18,구름많음,13.5,3.1,10.99,10.77,33.92,33.94,8.22,8.22,8.59,8.6,0.81,0.76,36.1,35.7,7.2,7.1,89.6,93.3,133,136.1,243.1,249,18.2,19.2,18.4,20.5,264.2,272.3,8.05,6.65,2.05,1.27,1
대한해협,BK1417,2012,11,2012-11-09,맑음,14,2.5,16.36,16.56,32.88,33.04,8.2,8.21,8.39,8.24,0.58,0.52,35.6,16.2,6.8,6,124.6,103.9,167,126.1,309.7,258.7,21.5,16.3,39.2,33.5,443.2,394.5,4.1,3.6,2.31,1.88,1
대한해협,BK1417,2012,8,2012-08-10,맑음,14,4.1,27.2,24.6,32.1,32.4,8.21,8.15,8.76,6.95,0.82,0.19,21.3,21.1,1.1,1.1,1.5,2,23.9,24.1,171.3,152.7,3.9,5.4,21.2,22.3,18.5,114,9.2,18.8,6.26,4.63,1
대한해협,BK1417,2012,5,2012-05-10,맑음,13,2.5,14.92,14.11,33.81,33.95,8.32,8.29,10.07,9.87,1.61,1.05,2.7,5.6,0.3,0.6,1,2,3.9,8.2,214.9,218.9,0.8,1.3,21.8,22.8,11.3,27.1,5.4,5.8,13.46,13.46,2
대한해협,BK1417,2012,2,2012-02-20,맑음,14,4.5,10.96,9.71,34.35,34.23,8.16,8.17,9.56,9.79,0.23,0.28,17,28.4,7.1,8,73,87.4,97,123.8,185.5,228,10.7,12.3,11.6,13.2,179.6,195.3,4.6,4.3,1.07,0.87,1
대한해협,BK1417,2011,11,2011-11-08,구름많음,14,4,18.5,18.44,32.72,32.92,8.12,8.1,7.23,7.22,0.59,0.61,49.1,30.2,10.4,6.9,62.7,53,122.1,90.1,313.4,279.1,19,17.7,21.3,19.4,368.8,351.3,3,4.3,0.46,0.64,1
대한해협,BK1417,2011,8,2011-08-03,맑음,14,2.5,19.27,13.57,32.1,33.42,8.15,8.1,7.55,7.3,0.96,0.68,28.7,24.6,7.8,6.3,69.3,110.1,105.8,141,250.1,250.6,2.6,20.2,21.6,21.8,1235,1456.6,5.2,6.8,4.9,4,2
대한해협,BK1417,2011,5,2011-05-18,맑음,13,1.6,14.36,13.26,33.46,33.89,8.3,8.25,9.41,8.49,1.08,0.47,68.1,31.7,7.9,7.3,64.2,67,140.3,106,380.1,273.2,16,14,24.7,19.2,154.9,233,4.6,6.8,4.03,2.24,2
대한해협,BK1417,2011,2,2011-02-23,맑음,14.7,1.6,11.2,10.88,34.4,34.41,8.05,8.05,9.23,8.87,0.66,0.9,122.9,61,7.7,7.4,73.7,80.8,204.3,149.2,499.1,483.7,21.4,20.2,79.2,84.2,174.4,180.5,7,13.3,0.87,1.45,2
대한해협,BK1417,2010,11,,-,-,2.5,15.49,15.37,33.52,33.78,7.98,7.97,6.85,6.57,0.67,0.8,34.5,22.8,9.4,7,177.6,135.1,221.5,164.9,372.5,329.4,34.3,17.9,52.4,46.3,548.9,403.8,2.7,5,1.97,0.97,3
대한해협,BK1417,2010,8,,-,-,3,19.25,16.41,32.56,33.26,8.04,7.98,8.92,8.63,2.36,2.51,57.9,44.6,1.3,1.1,0.1,1.1,59.3,46.8,315.7,337.6,7,9.5,14.3,22.2,42.5,65.7,4.6,5.1,8.89,13.15,2
대한해협,BK1417,2010,5,,-,-,1.4,13.73,13.35,33.88,34.11,8.01,8.01,8.87,8.86,0.34,0.85,28.2,10,8,7.7,71.3,66.9,107.5,84.7,207,159.5,22,13.3,32.6,22.5,222.1,227.9,4.1,2.8,1.55,1.11,2
대한해협,BK1417,2010,2,,-,-,3,11,10.07,33.93,34.02,8.03,8.02,9.02,9.08,1.09,0.69,26.7,31.2,6,7,112.9,119.9,145.6,158.2,288.5,363.1,18.4,18.4,30.7,34.5,298.6,346.4,13.6,9.1,0.66,1.05,1
대한해협,BK1417,2009,11,,-,-,1,15.95,16.19,32.94,33.18,7.74,7.72,7.09,7.01,1.58,1.23,10.6,12.2,1.7,4,124.2,113.8,136.4,130,174.9,326.6,10.4,18.3,29.3,35.5,461.6,320.8,9.6,12.4,1.41,1.31,3
대한해협,BK1417,2009,8,,-,-,2.5,24.02,23.27,30.05,31.05,8.1,8.12,5.93,6.34,1.93,1.82,51.4,26.3,4.2,2.2,77.7,39.4,133.3,67.8,258.6,206.2,7,23.7,39.2,24.5,95.6,83.9,6.7,6.4,6.02,6.58,2
대한해협,BK1417,2009,5,,-,-,5,15.17,13.37,33.94,34.89,8,7.96,9.3,9.42,0.78,0.63,31.7,10.1,5.3,7.1,78.1,68.8,115.2,85.9,213.9,251,14.6,2.4,20.9,25.8,292.5,281.5,3.1,4.2,6.9,8.52,1
대한해협,BK1417,2009,2,,-,-,4,13.17,12.37,34.03,34.23,8.17,8.16,8.4,8.28,2.04,1.49,34.6,24.4,4.8,7.3,95.8,111.3,135.2,143,289.1,306.2,9,14.2,15.7,24.8,328.2,352.8,2,2.7,1.39,1.56,1
대한해협,BK1417,2008,11,,-,-,4,17.1,16.73,33.3,33.43,7.98,7.87,6.74,6.61,1.38,0.76,17,13,8,7,130,142,155,163,211,315,23,21,24,28,477,513,10.4,-,1.01,-,2
대한해협,BK1417,2008,8,,-,-,2,19.1,17.95,33.24,34.09,8.14,8.09,7.83,7.68,1.77,1.43,21,24,1,2,32,24,53,50,283,230,6,7,19,17,67,160,5.6,-,12.93,-,3
대한해협,BK1417,2008,5,,-,-,3,15.37,14.26,34.1,34.28,8.11,8.12,8.84,8.46,0.77,0.46,39,32,8,16,34,49,81,97,287,268,14,19,26,22,79,490,7.1,8.5,3.34,2.9,1
대한해협,BK1417,2008,2,,-,-,1.7,11.71,10.52,33.83,34.19,8.12,8.09,9.79,10.01,0.35,0.47,0,20,6,7,99,112,105,139,192,228,18,32,19,32,8,8,4.1,2.4,0.59,1.2,2
대한해협,BK1417,2007,11,,-,-,4,15.61,16.4,32.97,33.19,8.02,8.02,7.6,6.09,0.72,0.88,43,45,8,8,108,115,159,169,373,356,34,29,35,40,327,339,4.9,4.1,1.85,1.09,3
대한해협,BK1417,2007,8,,-,-,2.5,20.73,17.24,33.62,34.25,7.56,7.89,8.46,7.7,1.22,1.07,8,8.3,4.2,4.5,63.9,81.4,76.2,94.2,498.2,489.2,17.3,18.5,42.3,46,180.9,317.1,3.2,5.6,6.13,3.81,1
대한해협,BK1417,2007,5,,-,-,2.5,16.25,13.97,27.98,33.21,7.52,7.46,8.11,8.14,0.78,0.75,60.1,38.1,8.2,8.6,202.9,169.7,271.2,317.9,605.7,607.9,18.2,15.2,50,24,103.5,242.1,11.5,13.5,4.64,5.83,2
대한해협,BK1417,2007,2,,-,-,3,11.32,10.57,34.04,33.94,7.79,7.78,9.89,10.22,0.72,0.98,33.3,29.3,9.6,9.4,106.2,100.9,149.1,139.6,259,263.9,21.1,22.1,36,33.5,282.7,345,3.8,5.5,0.99,0.82,1
대한해협,BK1417,2006,11,,-,-,2.8,18.13,16.73,32.6,33.31,7.87,7.84,7.96,7.8,0.84,0.79,72.3,60.2,7.7,7,106.3,125.9,186.3,193.1,265.2,244.5,26,18.5,36.1,36.1,358.8,377,4.2,5.9,1.52,1.29,1
대한해협,BK1417,2006,8,,-,-,1.9,18.6,14.94,30.6,33.16,8.02,7.71,12.18,9.22,2.86,1.73,15,38.5,6.8,5,77.9,163.4,99.7,206.9,223.4,245.4,2.8,17.5,35.5,39.2,63.9,413.9,3.9,5.4,22.87,11.88,3
대한해협,BK1417,2006,5,,-,-,2.8,14.35,13.87,33.37,34.07,8.18,8.18,8.46,8.59,0.99,1.39,159.1,54.6,16,13,64.3,46.8,255.3,127.3,515.6,361.1,21.5,18,40.6,35.9,193.1,126.6,5.4,18.4,2.99,2.38,2
대한해협,BK1417,2006,2,,-,-,3,10.89,9.71,33.56,33.46,8.03,8,9.04,9.5,1.38,0.66,53,106.1,7,7.3,44.4,67.5,104.3,180.9,252.2,562.7,16,18.3,16.8,19,345,246.2,3.4,4.1,0.99,1.16,1
대한해협,BK1417,2005,11,,-,-,1.8,17.98,18,32.38,32.63,8.22,8.25,7.26,8.89,0.82,0.76,82.9,72.2,9.8,8.6,22.2,20.7,114.9,101.5,1479.5,739,22.6,21.7,29.1,37,427.2,430.2,6.7,8,0.79,0.71,2
대한해협,BK1417,2005,8,,-,-,2,21.88,17.78,31.57,32.68,8.12,7.95,8.67,8.22,0.84,1.97,64,45,5,4,150,41,219,90,310,197,7,6,50,34,165,255,5.8,5.9,5.83,5.16,2
대한해협,BK1417,2005,5,,-,-,1.8,14.84,14.96,33.77,34.28,7.98,8,9.53,8.93,1.39,1.78,103.2,71.2,10.1,8.7,53.1,45.9,166.5,125.8,624.2,339.5,22.4,19.5,47.6,31.9,172.1,144,5.2,4.8,2.18,1.75,2
대한해협,BK1417,2005,2,,-,-,1,10.85,10.94,34,34.08,7.93,7.93,9.51,9.5,1.83,1.98,94.4,48.3,15.8,9.3,82.1,80.1,192.3,137.8,742,752,10.8,7.1,40.7,43.6,339.3,510.7,17.3,19.7,5.04,4.03,2
대한해협,BK1417,2004,11,,-,-,1.5,18.04,17.6,32.99,33.38,8.07,8.03,7.26,7.19,1.37,1.21,129.1,112.3,41.7,50.2,84.5,85,255.3,247.6,504.1,499,15.4,17.7,42,44.5,385,359,5.8,-,1.52,-,2
대한해협,BK1417,2004,8,,-,-,1.5,24.75,22.71,32.04,32.58,8.17,8.04,8.57,7.17,1.18,0.98,6,3,1,2,18,14,25,19,325,315,2,1,37,33,80,186,4.9,-,5.04,-,2
대한해협,BK1417,2004,5,,-,-,2.3,15.57,14.19,32.71,33.28,8.17,8.13,9.5,8.48,3.08,2.44,4,9,1,3,27,50,32,62,427,248,6,7,50,20,395,381,6.6,-,8.21,-,2
대한해협,BK1417,2004,2,,-,-,1.5,10.18,10.53,32.7,32.37,8.06,8.08,12.86,10.08,2.08,2.24,30.3,31.2,25.1,23.1,85.6,111.6,141.1,165.9,534.9,401.6,13.6,20.5,31.1,34.3,347.1,360,5,-,2.73,-,2
대한해협,BK1417,2003,11,,-,-,1.7,16.89,16.74,32.24,32.31,8.04,7.99,9.84,8.97,2.3,2.1,73.6,31.6,8,7.4,104.2,103.5,185.8,142.5,349.6,301.1,35.7,27.1,69.8,62.8,-,-,5.9,-,1.07,-,2
대한해협,BK1417,2003,8,,-,-,1.7,21.96,13.72,31.12,34.18,8.15,8.1,6.79,5.46,2.38,2.19,68.4,61.3,21,20.2,293.9,253,383.3,334.5,988.2,591.5,89.4,33.5,101,63.8,-,-,13.8,-,15.14,-,5
대한해협,BK1417,2003,5,,-,-,1.5,15.66,13.82,32.6,33.97,8.06,8,7.89,9.78,2.9,1.9,61.1,61.2,16.6,19.5,100.1,83.6,177.9,164.4,515.2,515.2,29.4,18.9,40.3,38.2,-,-,4.3,-,7.36,-,2
대한해협,BK1417,2003,2,,-,-,0.5,10.2,10.09,33.22,33.27,7.98,7.99,11.66,8.56,2.01,1.78,103.6,156.7,8,7.4,185.2,155.5,296.9,319.6,643.5,615.8,31.3,29.6,41.6,66.4,-,-,13.5,-,1.08,-,3
대한해협,BK1417,2002,11,,-,-,2.5,14.39,14.41,33.04,33.39,7.99,8.07,8.33,8.3,2.08,2.01,44.9,33.1,10.5,9.6,129.1,155.8,184.5,198.5,583.2,511.4,28.7,33,43.8,48,-,-,5.5,-,2.19,-,1
대한해협,BK1417,2002,8,,-,-,2,21.65,18.48,32.57,33.29,8.13,8.06,3.16,2.91,2.95,2.9,22.3,11.8,26.3,23.3,750.8,453.7,799.4,488.8,947.7,550.9,85.8,14.3,89.8,23.2,-,-,11.8,-,10.4,-,5
대한해협,BK1417,2002,5,,-,-,2.5,16.14,14.82,33.53,34.23,7.99,7.99,9.3,10.07,2.64,2.48,92.9,68.7,13.5,11.4,177.6,89.6,284,169.7,471.9,309.3,11.8,13.9,42.2,32.7,-,-,2.7,-,1.36,-,2
대한해협,BK1417,2002,2,,-,-,2,10.51,10.51,33.31,33.86,8.04,8.1,9.86,9.95,2.06,1.91,65,86,9,10,162,199,236,295,522,553,38,48,56,50,-,-,1.2,-,0.17,-,2
대한해협,BK1417,2001,11,,-,-,2,17.48,17.76,33.11,33.32,8.14,8.06,6.16,6.37,2.12,2.12,47,32,27,19,162,118,236,169,-,-,58,51,-,-,-,-,1.9,-,1.02,-,3
대한해협,BK1417,2001,8,,-,-,3,21.23,16.64,32.15,32.89,7.88,7.81,7.33,7.93,2.65,1.87,334,346,4.2,7.3,647.6,308,985.8,661.3,-,-,92,29,-,-,-,-,5.2,-,7.43,-,3
대한해협,BK1417,2001,5,,-,-,3,15.28,14.65,32.81,33.42,7.8,8.08,8.17,8.24,2.36,2.04,101.9,49,9.7,6.1,132.4,69.2,244,124.3,-,-,1.2,0.7,-,-,-,-,5,-,3.92,-,2
대한해협,BK1417,2001,2,,-,-,3.5,12.57,11.45,34.08,34.13,8.15,8.09,6.02,6.16,1.7,1.47,34.1,82,5.6,8.4,152.1,185.6,191.7,276,-,-,23.9,54.4,-,-,-,-,5.4,-,0.19,-,3
대한해협,BK1417,2000,11,,-,-,4,17.93,17.04,32.57,33,7.96,7.99,6.85,7.43,2.74,2.24,16.6,34,11.5,15.8,153.2,124.5,181.3,174.3,-,-,33.7,51.2,-,-,-,-,6.8,-,0.86,-,1
대한해협,BK1417,2000,8,,-,-,5,26.04,22.42,30.34,31.26,8.1,8.36,7.06,4.11,2.51,1.4,133.8,47.7,18.2,2.3,68.3,16.8,220.3,66.7,-,-,91.2,31.7,-,-,-,-,5.6,-,7.62,-,5
대한해협,BK1417,2000,5,,-,-,3.7,13.71,13.03,33.86,34.09,8.24,8.22,8.05,8.13,0.94,1.72,77,139.9,6.9,9.7,108.5,92,192.5,241.7,-,-,49.5,74.7,-,-,-,-,2.2,-,9.08,-,2
대한해협,BK1417,2000,2,,-,-,4,11.98,11.2,33.55,34.02,8.05,8.04,7.24,7.91,3.03,1.91,73,81,11,15,327,245,411,341,-,-,67,24,-,-,-,-,28.7,-,0.37,-,3
